great_area,ano,qtde,color
Agrarian Sciences,1971,1,"#F65385"
Agrarian Sciences,1972,0,"#F65385"
Agrarian Sciences,1973,2,"#F65385"
Agrarian Sciences,1974,4,"#F65385"
Agrarian Sciences,1975,3,"#F65385"
Agrarian Sciences,1976,2,"#F65385"
Agrarian Sciences,1977,2,"#F65385"
Agrarian Sciences,1978,4,"#F65385"
Agrarian Sciences,1979,2,"#F65385"
Agrarian Sciences,1980,5,"#F65385"
Agrarian Sciences,1981,12,"#F65385"
Agrarian Sciences,1982,9,"#F65385"
Agrarian Sciences,1983,10,"#F65385"
Agrarian Sciences,1984,10,"#F65385"
Agrarian Sciences,1985,14,"#F65385"
Agrarian Sciences,1986,21,"#F65385"
Agrarian Sciences,1987,20,"#F65385"
Agrarian Sciences,1988,17,"#F65385"
Agrarian Sciences,1989,31,"#F65385"
Agrarian Sciences,1990,35,"#F65385"
Agrarian Sciences,1991,31,"#F65385"
Agrarian Sciences,1992,39,"#F65385"
Agrarian Sciences,1993,30,"#F65385"
Agrarian Sciences,1994,51,"#F65385"
Agrarian Sciences,1995,66,"#F65385"
Agrarian Sciences,1996,80,"#F65385"
Agrarian Sciences,1997,101,"#F65385"
Agrarian Sciences,1998,117,"#F65385"
Agrarian Sciences,1999,170,"#F65385"
Agrarian Sciences,2000,186,"#F65385"
Agrarian Sciences,2001,249,"#F65385"
Agrarian Sciences,2002,264,"#F65385"
Agrarian Sciences,2003,370,"#F65385"
Agrarian Sciences,2004,409,"#F65385"
Agrarian Sciences,2005,466,"#F65385"
Agrarian Sciences,2006,495,"#F65385"
Agrarian Sciences,2007,612,"#F65385"
Agrarian Sciences,2008,671,"#F65385"
Agrarian Sciences,2009,773,"#F65385"
Agrarian Sciences,2010,783,"#F65385"
Agrarian Sciences,2011,973,"#F65385"
Agrarian Sciences,2012,1109,"#F65385"
Agrarian Sciences,2013,1192,"#F65385"
Agrarian Sciences,2014,1184,"#F65385"
Agrarian Sciences,2015,1227,"#F65385"
Agrarian Sciences,2016,1193,"#F65385"
Agrarian Sciences,2017,1137,"#F65385"
Applied and Social Sciences,1972,1,"#F18818"
Applied and Social Sciences,1973,1,"#F18818"
Applied and Social Sciences,1974,0,"#F18818"
Applied and Social Sciences,1975,0,"#F18818"
Applied and Social Sciences,1976,0,"#F18818"
Applied and Social Sciences,1977,1,"#F18818"
Applied and Social Sciences,1978,0,"#F18818"
Applied and Social Sciences,1979,1,"#F18818"
Applied and Social Sciences,1980,0,"#F18818"
Applied and Social Sciences,1981,1,"#F18818"
Applied and Social Sciences,1982,1,"#F18818"
Applied and Social Sciences,1983,1,"#F18818"
Applied and Social Sciences,1984,4,"#F18818"
Applied and Social Sciences,1985,9,"#F18818"
Applied and Social Sciences,1986,4,"#F18818"
Applied and Social Sciences,1987,8,"#F18818"
Applied and Social Sciences,1988,4,"#F18818"
Applied and Social Sciences,1989,13,"#F18818"
Applied and Social Sciences,1990,8,"#F18818"
Applied and Social Sciences,1991,8,"#F18818"
Applied and Social Sciences,1992,10,"#F18818"
Applied and Social Sciences,1993,22,"#F18818"
Applied and Social Sciences,1994,25,"#F18818"
Applied and Social Sciences,1995,44,"#F18818"
Applied and Social Sciences,1996,50,"#F18818"
Applied and Social Sciences,1997,62,"#F18818"
Applied and Social Sciences,1998,76,"#F18818"
Applied and Social Sciences,1999,83,"#F18818"
Applied and Social Sciences,2000,123,"#F18818"
Applied and Social Sciences,2001,119,"#F18818"
Applied and Social Sciences,2002,142,"#F18818"
Applied and Social Sciences,2003,166,"#F18818"
Applied and Social Sciences,2004,188,"#F18818"
Applied and Social Sciences,2005,209,"#F18818"
Applied and Social Sciences,2006,218,"#F18818"
Applied and Social Sciences,2007,247,"#F18818"
Applied and Social Sciences,2008,269,"#F18818"
